Rank,Things-Ch,Things-English
1,坚尼地城看日落,Watch the sun melt into the sea at Kennedy Town.
2,"旺角中心、太安楼或葵涌广场扫街吃小吃,","Graze your way through Mong Kok Centre, Tai On Building or Kwai Chung Plaza, snacking street by street."
3,乘天星小轮赏维港风景。,Cross Victoria Harbour on the Star Ferry and let the skyline glide past you.
4,坐叮叮车到跑马地看全港首间 7-Eleven便利店。,Ride the ding-ding to Happy Valley and salute Hong Kong’s very first 7-Eleven.
5,去马场看赛马感受热烈氛围,Feel the roar of the crowd and the thunder of hooves at the races.
6,上环、西营盘或大坑散步拍照。,"Wander and shoot in Sheung Wan, Sai Ying Pun or Tai Hang, where old shopfronts glow in afternoon light."
7,百德新街购买潮牌服饰。,Hunt the latest drops on Paterson Street’s fashion strip.
8,中环码头坐渡轮去离岛,Board a ferry from Central Pier and watch the city shrink behind you as an island draws near.
9,坐水晶缆车去天坛大佛并参观心经林。,"Take the crystal cabin to the Big Buddha, then lose yourself in the Heart Sutra bamboo grove."
10,从金钟漫步到铜锣湾，逛星街、月街。,"Stroll from Admiralty to Causeway Bay, threading Star Street and Moon Street’s quiet boutiques."
11,深水埗探店寻宝，体验贴地生活,"Treasure-hunt through Sham Shui Po’s thrift dens and back-alley workshops, breathing the city’s salt-of-the-earth air."
12,街市大排档品尝地道风味美食。,Pull up a plastic stool at a cooked-food market and taste Hong Kong on a sizzling wok.
13,元朗一日游，打卡B仔凉粉。,Spend a day in Yuen Long and cool your tongue with B仔’s famous grass-jelly.
14,西贡看海景，住一晚听海浪声入睡,"Watch Sai Kung’s jade waters fade to ink, then fall asleep to the hush of waves just outside your window."
15,城门水塘徒步观猴。,Hike the monkey-threaded paths of Shing Mun Reservoir and meet the city’s wilder eyes.
16,茶餐厅品尝冻柠茶和港式美食。,"In a cha chaan teng, let iced lemon tea and Cantonese comfort food reset your clock to Hong Kong time."
17,茶楼饮早茶，吃虾饺、烧卖等点心。,"Dim-sum morning: bamboo steamers of har-gow, siu-mai and laughter clattering among teacups."
18,大东山看芒草，赏陈奕迅专辑封面同款美景。,Climb Sunset Peak’s silver grass fields and stand inside the cover of an Eason Chan album.
19,去香港迪士尼看烟花。,End a Disney day with fireworks flowering above Sleeping Beauty Castle.
20,夜晚去中环散步,"When night folds the city in neon, walk Central’s mid-level escalators and let the lights write stories on your face."
21,文武庙求签感受传统信仰。,Draw a fortune slip at Man Mo Temple to feel the pulse of living faith.
